Àmbit;Dimensió;Centre_Territori;Granularitat;Indicador;Sexe;Grup_edat;Any;Resultat;Catalunya;RaO O_E;IC inferior;IC superior
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;85+;2024;45.38;40.12;1.05;0.98;1.13
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Dona;75-84;2024;44.97;40.92;0.87;0.809;0.93
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-C;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;0-14;2024;71.71;47.75;1.4;1.337;1.456
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;45-64;2024;58.67;49.53;1.18;1.136;1.23
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-E;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;45-64;2024;53.18;49.53;1.07;1.031;1.113
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-A;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;45-64;2024;46.81;49.53;0.94;0.901;0.987
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;15-44;2024;48.41;40.69;1.02;0.989;1.061
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-E;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;Total;2024;47.78;42.26;1.05;1.028;1.073
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;Total;2024;42.75;42.26;0.95;0.926;0.969
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;45-64;2024;53.3;49.53;1.07;1.017;1.133
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;45-64;2024;48.87;49.53;0.98;0.945;1.026
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Dona;65-74;2024;58.16;47.77;0.96;0.894;1.023
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-C;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;15-44;2024;43.22;40.69;0.91;0.88;0.951
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;15-44;2024;39.08;40.69;0.83;0.796;0.86
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-A;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;85+;2024;45.82;40.12;1.06;0.981;1.149
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Dona;85+;2024;48.82;40.02;1;0.894;1.113
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;85+;2024;46;40.33;1.5;1.32;1.701
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;85+;2024;48.06;40.12;1.14;1.047;1.245
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;75-84;2024;48.49;41.05;1.1;1.035;1.168
