any;secció censal;concepte;estat;valor
2024;Aleixar, l' DC01 SC001;població amb estudis baixos (%);;12,0
2024;Aleixar, l' DC01 SC001;població jove sense estudis postobligatoris (%);;21,7
2024;Aleixar, l' DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;11,1
2024;Aleixar, l' DC01 SC001;renda mitjana per persona (€);;9999999
2024;Alella DC01 SC001;població amb estudis baixos (%);;7,7
2024;Alella DC01 SC001;població jove sense estudis postobligatoris (%);;8,6
2024;Alella DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;5,6
2024;Alella DC01 SC001;renda mitjana per persona (€);;9999999
2024;Alella DC01 SC002;població amb estudis baixos (%);;6,8
2024;Alella DC01 SC002;població jove sense estudis postobligatoris (%);;10,0
2024;Alella DC01 SC002;població estrangera de països de renda baixa o mitjana (%);;8,5
2024;Alella DC01 SC002;renda mitjana per persona (€);;9999999
2024;Alella DC01 SC003;població amb estudis baixos (%);;7,9
2024;Alella DC01 SC003;població jove sense estudis postobligatoris (%);;5,2
2024;Alella DC01 SC003;població estrangera de països de renda baixa o mitjana (%);;5,1
2024;Alella DC01 SC003;renda mitjana per persona (€);;9999999
2024;Alella DC01 SC004;població amb estudis baixos (%);;5,7
2024;Alella DC01 SC004;població jove sense estudis postobligatoris (%);;3,7
2024;Alella DC01 SC004;població estrangera de països de renda baixa o mitjana (%);;8,9
2024;Alella DC01 SC004;renda mitjana per persona (€);;9999999
2024;Alella DC01 SC005;població amb estudis baixos (%);;13,3
2024;Alella DC01 SC005;població jove sense estudis postobligatoris (%);;13,0
2024;Alella DC01 SC005;població estrangera de països de renda baixa o mitjana (%);;5,3
2024;Alella DC01 SC005;renda mitjana per persona (€);;9999999
2024;Alfara de Carles DC01 SC001;població amb estudis baixos (%);;12,0
2024;Alfara de Carles DC01 SC001;població jove sense estudis postobligatoris (%);;9999999,0
2024;Alfara de Carles DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;6,1
2024;Alfara de Carles DC01 SC001;renda mitjana per persona (€);;9999999
2024;Alfarràs DC01 SC001;població amb estudis baixos (%);;22,0
2024;Alfarràs DC01 SC001;població jove sense estudis postobligatoris (%);;40,5
2024;Alfarràs DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;14,6
2024;Alfarràs DC01 SC001;renda mitjana per persona (€);;9999999
2024;Alfarràs DC01 SC002;població amb estudis baixos (%);;17,3
2024;Alfarràs DC01 SC002;població jove sense estudis postobligatoris (%);;45,5
2024;Alfarràs DC01 SC002;població estrangera de països de renda baixa o mitjana (%);;14,9
2024;Alfarràs DC01 SC002;renda mitjana per persona (€);;9999999
2024;Alfés DC01 SC001;població amb estudis baixos (%);;13,9
2024;Alfés DC01 SC001;població jove sense estudis postobligatoris (%);;9999999,0
2024;Alfés DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;4,9
2024;Alfés DC01 SC001;renda mitjana per persona (€);;9999999
2024;Alforja DC01 SC001;població amb estudis baixos (%);;12,4
2024;Alforja DC01 SC001;població jove sense estudis postobligatoris (%);;20,2
2024;Alforja DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;6,9
2024;Alforja DC01 SC001;renda mitjana per persona (€);;9999999
2024;Algerri DC01 SC001;població amb estudis baixos (%);;6,6
2024;Algerri DC01 SC001;població jove sense estudis postobligatoris (%);;9999999,0
2024;Algerri DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;10,6
2024;Algerri DC01 SC001;renda mitjana per persona (€);;9999999
2024;Alguaire DC01 SC001;població amb estudis baixos (%);;19,6
2024;Alguaire DC01 SC001;població jove sense estudis postobligatoris (%);;38,2
2024;Alguaire DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;20,6
2024;Alguaire DC01 SC001;renda mitjana per persona (€);;9999999
2024;Alguaire DC01 SC002;població amb estudis baixos (%);;14,2
2024;Alguaire DC01 SC002;població jove sense estudis postobligatoris (%);;28,8
2024;Alguaire DC01 SC002;població estrangera de països de renda baixa o mitjana (%);;15,1
2024;Alguaire DC01 SC002;renda mitjana per persona (€);;9999999
2024;Alins DC01 SC001;població amb estudis baixos (%);;12,5
2024;Alins DC01 SC001;població jove sense estudis postobligatoris (%);;9999999,0
2024;Alins DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;3,3
2024;Alins DC01 SC001;renda mitjana per persona (€);;9999999
2024;Alió DC01 SC001;població amb estudis baixos (%);;5,9
2024;Alió DC01 SC001;població jove sense estudis postobligatoris (%);;11,7
2024;Alió DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;6,7
2024;Alió DC01 SC001;renda mitjana per persona (€);;9999999
2024;Almacelles DC01 SC001;població amb estudis baixos (%);;17,2
2024;Almacelles DC01 SC001;població jove sense estudis postobligatoris (%);;31,0
2024;Almacelles DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;19,5
2024;Almacelles DC01 SC001;renda mitjana per persona (€);;9999999
2024;Almacelles DC01 SC002;població amb estudis baixos (%);;16,8
2024;Almacelles DC01 SC002;població jove sense estudis postobligatoris (%);;33,8
2024;Almacelles DC01 SC002;població estrangera de països de renda baixa o mitjana (%);;21,0
2024;Almacelles DC01 SC002;renda mitjana per persona (€);;9999999
2024;Almacelles DC02 SC001;població amb estudis baixos (%);;22,6
2024;Almacelles DC02 SC001;població jove sense estudis postobligatoris (%);;45,3
2024;Almacelles DC02 SC001;població estrangera de països de renda baixa o mitjana (%);;26,7
2024;Almacelles DC02 SC001;renda mitjana per persona (€);;9999999
2024;Almacelles DC02 SC002;població amb estudis baixos (%);;23,0
2024;Almacelles DC02 SC002;població jove sense estudis postobligatoris (%);;39,9
2024;Almacelles DC02 SC002;població estrangera de països de renda baixa o mitjana (%);;17,6
2024;Almacelles DC02 SC002;renda mitjana per persona (€);;9999999
2024;Almatret DC01 SC001;població amb estudis baixos (%);;22,4
2024;Almatret DC01 SC001;població jove sense estudis postobligatoris (%);;9999999,0
2024;Almatret DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;8,6
2024;Almatret DC01 SC001;renda mitjana per persona (€);;9999999
2024;Almenar DC01 SC001;població amb estudis baixos (%);;17,6
2024;Almenar DC01 SC001;població jove sense estudis postobligatoris (%);;38,5
2024;Almenar DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;4,1
2024;Almenar DC01 SC001;renda mitjana per persona (€);;9999999
2024;Almenar DC02 SC001;població amb estudis baixos (%);;15,4
2024;Almenar DC02 SC001;població jove sense estudis postobligatoris (%);;35,5
2024;Almenar DC02 SC001;població estrangera de països de renda baixa o mitjana (%);;12,6
2024;Almenar DC02 SC001;renda mitjana per persona (€);;9999999
2024;Almenar DC02 SC002;població amb estudis baixos (%);;19,8
2024;Almenar DC02 SC002;població jove sense estudis postobligatoris (%);;33,8
2024;Almenar DC02 SC002;població estrangera de països de renda baixa o mitjana (%);;13,3
2024;Almenar DC02 SC002;renda mitjana per persona (€);;9999999
2024;Almoster DC01 SC001;població amb estudis baixos (%);;4,9
2024;Almoster DC01 SC001;població jove sense estudis postobligatoris (%);;7,9
2024;Almoster DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;2,2
2024;Almoster DC01 SC001;renda mitjana per persona (€);;9999999
2024;Alòs de Balaguer DC01 SC001;població amb estudis baixos (%);;16,7
2024;Alòs de Balaguer DC01 SC001;població jove sense estudis postobligatoris (%);;9999999,0
2024;Alòs de Balaguer DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;11,9
2024;Alòs de Balaguer DC01 SC001;renda mitjana per persona (€);;9999999
2024;Alp DC01 SC001;població amb estudis baixos (%);;6,8
2024;Alp DC01 SC001;població jove sense estudis postobligatoris (%);;12,5
2024;Alp DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;9,5
2024;Alp DC01 SC001;renda mitjana per persona (€);;9999999
2024;Alpens DC01 SC001;població amb estudis baixos (%);;8,3
2024;Alpens DC01 SC001;població jove sense estudis postobligatoris (%);;9999999,0
2024;Alpens DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;7,4
2024;Alpens DC01 SC001;renda mitjana per persona (€);;9999999
2024;Alpicat DC01 SC001;població amb estudis baixos (%);;10,2
2024;Alpicat DC01 SC001;població jove sense estudis postobligatoris (%);;24,1
2024;Alpicat DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;7,9
2024;Alpicat DC01 SC001;renda mitjana per persona (€);;9999999
2024;Alpicat DC01 SC002;població amb estudis baixos (%);;7,1
2024;Alpicat DC01 SC002;població jove sense estudis postobligatoris (%);;13,2
2024;Alpicat DC01 SC002;població estrangera de països de renda baixa o mitjana (%);;7,5
2024;Alpicat DC01 SC002;renda mitjana per persona (€);;9999999
2024;Alpicat DC01 SC003;població amb estudis baixos (%);;3,3
2024;Alpicat DC01 SC003;població jove sense estudis postobligatoris (%);;4,9
2024;Alpicat DC01 SC003;població estrangera de països de renda baixa o mitjana (%);;2,2
2024;Alpicat DC01 SC003;renda mitjana per persona (€);;9999999
2024;Alt Àneu DC01 SC001;població amb estudis baixos (%);;6,8
2024;Alt Àneu DC01 SC001;població jove sense estudis postobligatoris (%);;9999999,0
2024;Alt Àneu DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;1,8
2024;Alt Àneu DC01 SC001;renda mitjana per persona (€);;9999999
2024;Altafulla DC01 SC001;població amb estudis baixos (%);;11,2
2024;Altafulla DC01 SC001;població jove sense estudis postobligatoris (%);;18,9
2024;Altafulla DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;8,9
2024;Altafulla DC01 SC001;renda mitjana per persona (€);;9999999
2024;Altafulla DC01 SC002;població amb estudis baixos (%);;9,6
2024;Altafulla DC01 SC002;població jove sense estudis postobligatoris (%);;22,8
2024;Altafulla DC01 SC002;població estrangera de països de renda baixa o mitjana (%);;10,6
2024;Altafulla DC01 SC002;renda mitjana per persona (€);;9999999
2024;Altafulla DC01 SC003;població amb estudis baixos (%);;6,0
2024;Altafulla DC01 SC003;població jove sense estudis postobligatoris (%);;11,8
2024;Altafulla DC01 SC003;població estrangera de països de renda baixa o mitjana (%);;2,9
2024;Altafulla DC01 SC003;renda mitjana per persona (€);;9999999
2024;Amer DC01 SC001;població amb estudis baixos (%);;16,1
2024;Amer DC01 SC001;població jove sense estudis postobligatoris (%);;24,9
2024;Amer DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;11,6
2024;Amer DC01 SC001;renda mitjana per persona (€);;9999999
2024;Ametlla de Mar, l' DC01 SC001;població amb estudis baixos (%);;18,7
2024;Ametlla de Mar, l' DC01 SC001;població jove sense estudis postobligatoris (%);;27,0
2024;Ametlla de Mar, l' DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;14,6
2024;Ametlla de Mar, l' DC01 SC001;renda mitjana per persona (€);;9999999
2024;Ametlla de Mar, l' DC01 SC002;població amb estudis baixos (%);;21,7
2024;Ametlla de Mar, l' DC01 SC002;població jove sense estudis postobligatoris (%);;33,2
2024;Ametlla de Mar, l' DC01 SC002;població estrangera de països de renda baixa o mitjana (%);;17,7
2024;Ametlla de Mar, l' DC01 SC002;renda mitjana per persona (€);;9999999
2024;Ametlla de Mar, l' DC01 SC003;població amb estudis baixos (%);;21,6
2024;Ametlla de Mar, l' DC01 SC003;població jove sense estudis postobligatoris (%);;24,0
2024;Ametlla de Mar, l' DC01 SC003;població estrangera de països de renda baixa o mitjana (%);;11,9
2024;Ametlla de Mar, l' DC01 SC003;renda mitjana per persona (€);;9999999
2024;Ametlla del Vallès, l' DC01 SC001;població amb estudis baixos (%);;4,2
2024;Ametlla del Vallès, l' DC01 SC001;població jove sense estudis postobligatoris (%);;9,3
2024;Ametlla del Vallès, l' DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;3,2
2024;Ametlla del Vallès, l' DC01 SC001;renda mitjana per persona (€);;9999999
2024;Ametlla del Vallès, l' DC01 SC002;població amb estudis baixos (%);;6,6
2024;Ametlla del Vallès, l' DC01 SC002;població jove sense estudis postobligatoris (%);;13,3
2024;Ametlla del Vallès, l' DC01 SC002;població estrangera de països de renda baixa o mitjana (%);;5,7
2024;Ametlla del Vallès, l' DC01 SC002;renda mitjana per persona (€);;9999999
2024;Ametlla del Vallès, l' DC01 SC003;població amb estudis baixos (%);;5,1
2024;Ametlla del Vallès, l' DC01 SC003;població jove sense estudis postobligatoris (%);;8,1
2024;Ametlla del Vallès, l' DC01 SC003;població estrangera de països de renda baixa o mitjana (%);;3,4
2024;Ametlla del Vallès, l' DC01 SC003;renda mitjana per persona (€);;9999999
2024;Ametlla del Vallès, l' DC01 SC004;població amb estudis baixos (%);;5,2
2024;Ametlla del Vallès, l' DC01 SC004;població jove sense estudis postobligatoris (%);;6,6
2024;Ametlla del Vallès, l' DC01 SC004;població estrangera de països de renda baixa o mitjana (%);;2,8
2024;Ametlla del Vallès, l' DC01 SC004;renda mitjana per persona (€);;9999999
2024;Ametlla del Vallès, l' DC01 SC005;població amb estudis baixos (%);;13,8
2024;Ametlla del Vallès, l' DC01 SC005;població jove sense estudis postobligatoris (%);;14,5
2024;Ametlla del Vallès, l' DC01 SC005;població estrangera de països de renda baixa o mitjana (%);;4,3
2024;Ametlla del Vallès, l' DC01 SC005;renda mitjana per persona (€);;9999999
2024;Ampolla, l' DC01 SC001;població amb estudis baixos (%);;16,4
