any,secció censal,concepte,estat,valor
2024,Alforja DC01 SC001,població amb estudis baixos,p,98.5
2024,Alforja DC01 SC001,població jove sense estudis postobligatoris,p,98.6
2024,Alforja DC01 SC001,població estrangera de països de renda baixa o mitjana,p,88.1
2024,Alforja DC01 SC001,renda mitjana per persona,..,null
2024,Algerri DC01 SC001,població amb estudis baixos,p,81.2
2024,Algerri DC01 SC001,població jove sense estudis postobligatoris,..,null
2024,Algerri DC01 SC001,població estrangera de països de renda baixa o mitjana,p,95.0
2024,Algerri DC01 SC001,renda mitjana per persona,..,null
2024,Alguaire DC01 SC001,població amb estudis baixos,p,119.9
2024,Alguaire DC01 SC001,població jove sense estudis postobligatoris,p,123.7
2024,Alguaire DC01 SC001,població estrangera de països de renda baixa o mitjana,p,113.9
2024,Alguaire DC01 SC001,renda mitjana per persona,..,null
2024,Alguaire DC01 SC002,població amb estudis baixos,p,103.8
2024,Alguaire DC01 SC002,població jove sense estudis postobligatoris,p,110.7
2024,Alguaire DC01 SC002,població estrangera de països de renda baixa o mitjana,p,103.5
2024,Alguaire DC01 SC002,renda mitjana per persona,..,null
2024,Alins DC01 SC001,població amb estudis baixos,p,98.8
2024,Alins DC01 SC001,població jove sense estudis postobligatoris,..,null
2024,Alins DC01 SC001,població estrangera de països de renda baixa o mitjana,p,81.3
2024,Alins DC01 SC001,renda mitjana per persona,..,null
2024,Alió DC01 SC001,població amb estudis baixos,p,79.1
2024,Alió DC01 SC001,població jove sense estudis postobligatoris,p,86.7
2024,Alió DC01 SC001,població estrangera de països de renda baixa o mitjana,p,87.8
2024,Alió DC01 SC001,renda mitjana per persona,..,null
2024,Almacelles DC01 SC001,població amb estudis baixos,p,112.6
2024,Almacelles DC01 SC001,població jove sense estudis postobligatoris,p,113.7
2024,Almacelles DC01 SC001,població estrangera de països de renda baixa o mitjana,p,111.9
2024,Almacelles DC01 SC001,renda mitjana per persona,..,null
2024,Almacelles DC01 SC002,població amb estudis baixos,p,111.5
2024,Almacelles DC01 SC002,població jove sense estudis postobligatoris,p,117.6
2024,Almacelles DC01 SC002,població estrangera de països de renda baixa o mitjana,p,114.6
2024,Almacelles DC01 SC002,renda mitjana per persona,..,null
2024,Almacelles DC02 SC001,població amb estudis baixos,p,128.8
2024,Almacelles DC02 SC001,població jove sense estudis postobligatoris,p,133.6
2024,Almacelles DC02 SC001,població estrangera de països de renda baixa o mitjana,p,125.4
2024,Almacelles DC02 SC001,renda mitjana per persona,..,null
2024,Almacelles DC02 SC002,població amb estudis baixos,p,130.1
2024,Almacelles DC02 SC002,població jove sense estudis postobligatoris,p,126.0
2024,Almacelles DC02 SC002,població estrangera de països de renda baixa o mitjana,p,108.2
2024,Almacelles DC02 SC002,renda mitjana per persona,..,null
2024,Almatret DC01 SC001,població amb estudis baixos,p,128.3
2024,Almatret DC01 SC001,població jove sense estudis postobligatoris,..,null
2024,Almatret DC01 SC001,població estrangera de països de renda baixa o mitjana,p,91.3
2024,Almatret DC01 SC001,renda mitjana per persona,..,null
2024,Almenar DC01 SC001,població amb estudis baixos,p,113.8
2024,Almenar DC01 SC001,població jove sense estudis postobligatoris,p,124.1
2024,Almenar DC01 SC001,població estrangera de països de renda baixa o mitjana,p,82.9
2024,Almenar DC01 SC001,renda mitjana per persona,..,null
2024,Almenar DC02 SC001,població amb estudis baixos,p,107.5
2024,Almenar DC02 SC001,població jove sense estudis postobligatoris,p,119.9
2024,Almenar DC02 SC001,població estrangera de països de renda baixa o mitjana,p,98.9
2024,Almenar DC02 SC001,renda mitjana per persona,..,null
2024,Almenar DC02 SC002,població amb estudis baixos,p,120.6
2024,Almenar DC02 SC002,població jove sense estudis postobligatoris,p,117.6
2024,Almenar DC02 SC002,població estrangera de països de renda baixa o mitjana,p,100.1
2024,Almenar DC02 SC002,renda mitjana per persona,..,null
2024,Almoster DC01 SC001,població amb estudis baixos,p,76.1
2024,Almoster DC01 SC001,població jove sense estudis postobligatoris,p,81.4
2024,Almoster DC01 SC001,població estrangera de països de renda baixa o mitjana,p,79.3
2024,Almoster DC01 SC001,renda mitjana per persona,..,null
2024,Alòs de Balaguer DC01 SC001,població amb estudis baixos,p,111.2
2024,Alòs de Balaguer DC01 SC001,població jove sense estudis postobligatoris,..,null
2024,Alòs de Balaguer DC01 SC001,població estrangera de països de renda baixa o mitjana,p,97.5
2024,Alòs de Balaguer DC01 SC001,renda mitjana per persona,..,null
2024,Alp DC01 SC001,població amb estudis baixos,p,81.9
2024,Alp DC01 SC001,població jove sense estudis postobligatoris,p,87.8
2024,Alp DC01 SC001,població estrangera de països de renda baixa o mitjana,p,93.1
2024,Alp DC01 SC001,renda mitjana per persona,..,null
2024,Alpens DC01 SC001,població amb estudis baixos,p,86.2
2024,Alpens DC01 SC001,població jove sense estudis postobligatoris,..,null
2024,Alpens DC01 SC001,població estrangera de països de renda baixa o mitjana,p,89.1
2024,Alpens DC01 SC001,renda mitjana per persona,..,null
2024,Alpicat DC01 SC001,població amb estudis baixos,p,91.8
2024,Alpicat DC01 SC001,població jove sense estudis postobligatoris,p,104.0
2024,Alpicat DC01 SC001,població estrangera de països de renda baixa o mitjana,p,90.1
2024,Alpicat DC01 SC001,renda mitjana per persona,..,null
2024,Alpicat DC01 SC002,població amb estudis baixos,p,82.6
2024,Alpicat DC01 SC002,població jove sense estudis postobligatoris,p,88.8
2024,Alpicat DC01 SC002,població estrangera de països de renda baixa o mitjana,p,89.3
2024,Alpicat DC01 SC002,renda mitjana per persona,..,null
2024,Alpicat DC01 SC003,població amb estudis baixos,p,71.5
2024,Alpicat DC01 SC003,població jove sense estudis postobligatoris,p,77.2
2024,Alpicat DC01 SC003,població estrangera de països de renda baixa o mitjana,p,79.3
2024,Alpicat DC01 SC003,renda mitjana per persona,..,null
2024,Alt Àneu DC01 SC001,població amb estudis baixos,p,81.7
2024,Alt Àneu DC01 SC001,població jove sense estudis postobligatoris,..,null
2024,Alt Àneu DC01 SC001,població estrangera de països de renda baixa o mitjana,p,78.5
2024,Alt Àneu DC01 SC001,renda mitjana per persona,..,null
2024,Altafulla DC01 SC001,població amb estudis baixos,p,95.0
2024,Altafulla DC01 SC001,població jove sense estudis postobligatoris,p,96.8
2024,Altafulla DC01 SC001,població estrangera de països de renda baixa o mitjana,p,91.9
2024,Altafulla DC01 SC001,renda mitjana per persona,..,null
2024,Altafulla DC01 SC002,població amb estudis baixos,p,90.0
2024,Altafulla DC01 SC002,població jove sense estudis postobligatoris,p,102.2
2024,Altafulla DC01 SC002,població estrangera de països de renda baixa o mitjana,p,95.0
2024,Altafulla DC01 SC002,renda mitjana per persona,..,null
2024,Altafulla DC01 SC003,població amb estudis baixos,p,79.4
2024,Altafulla DC01 SC003,població jove sense estudis postobligatoris,p,86.9
2024,Altafulla DC01 SC003,població estrangera de països de renda baixa o mitjana,p,80.7
2024,Altafulla DC01 SC003,renda mitjana per persona,..,null
2024,Amer DC01 SC001,població amb estudis baixos,p,109.4
2024,Amer DC01 SC001,població jove sense estudis postobligatoris,p,105.1
2024,Amer DC01 SC001,població estrangera de països de renda baixa o mitjana,p,97.0
2024,Amer DC01 SC001,renda mitjana per persona,..,null
2024,"Ametlla de Mar, l' DC01 SC001",població amb estudis baixos,p,117.3
2024,"Ametlla de Mar, l' DC01 SC001",població jove sense estudis postobligatoris,p,108.1
2024,"Ametlla de Mar, l' DC01 SC001",població estrangera de països de renda baixa o mitjana,p,102.6
2024,"Ametlla de Mar, l' DC01 SC001",renda mitjana per persona,..,null
2024,"Ametlla de Mar, l' DC01 SC002",població amb estudis baixos,p,126.3
2024,"Ametlla de Mar, l' DC01 SC002",població jove sense estudis postobligatoris,p,116.8
2024,"Ametlla de Mar, l' DC01 SC002",població estrangera de països de renda baixa o mitjana,p,108.4
2024,"Ametlla de Mar, l' DC01 SC002",renda mitjana per persona,..,null
2024,"Ametlla de Mar, l' DC01 SC003",població amb estudis baixos,p,125.9
2024,"Ametlla de Mar, l' DC01 SC003",població jove sense estudis postobligatoris,p,103.9
2024,"Ametlla de Mar, l' DC01 SC003",població estrangera de països de renda baixa o mitjana,p,97.6
2024,"Ametlla de Mar, l' DC01 SC003",renda mitjana per persona,..,null
2024,"Ametlla del Vallès, l' DC01 SC001",població amb estudis baixos,p,74.2
2024,"Ametlla del Vallès, l' DC01 SC001",població jove sense estudis postobligatoris,p,83.4
